TCID,TSID,Key,feature_id,email,name,respondentType,surveyType,mobileNumber,provider,department,verificationText
MED-715,S1,DASHBOARD_SEND_SURVEY,Dashboard,qa.medrev@gmail.com,Ashish,All Respondent Type,SurveyTestAuto,9898989898,Dr.John Smith,Cardiology,Success
MED-716,S1,DASHBOARD_TIMEFRAME,Dashboard,,,,,,,,""
MED-717,S1,DASHBOARD_RESPONDENT,Dashboard,,,,,,,,"All Respondent Types,Employees,Clients,New Data"
MED-718,S1,DASHBOARD_LOCATION,Dashboard,,,,,,,,"Athens Software Service;Google Store Chelsea, New York, NY;Top Notch Doc;PIO_2;FAC1;FAC1;Thomas;Ashish Kumar VYas;Ashish Kumar VYas;Retesting;Testing"
MED-719,S1,DASHBOARD_USER_PROFILE_DROPDOWN,Dashboard,,,,,,,,"User,Company"
MED-720,S1,DASHBOARD_OVERVIEW_APPEARANCE,Dashboard,,,,,,,,"Net Promoter Score,Social Score,Social Change,Surveys Filled,Survey Score,Survey Change"
MED-721,S1,DASHBOARD_NET_PROMOTER_FUCTIONALITY,Dashboard,qa.medrev@gmail.com,Ashish,All Respondent Type,SurveyTestAuto,9898989898,Dr.John Smith,Cardiology,"Success,Company 2"
MED-725,S1,DASHBOARD_SURVEY_FILLED_COUNT,Dashboard,qa.medrev@gmail.com,Company11,All Respondent Type,SurveyTestAuto,9898989898,Dr.John Smith,Cardiology,"Success,Athens Software Service,Company 2"
MED-732,S1,DASHBOARD_SURVEY_SCORE_COUNT,Dashboard,qa.medrev@gmail.com,Company12,All Respondent Type,SurveyTestAuto,9898989898,Dr.John Smith,Cardiology,"Success,Athens Software Service,Company 2"
MED-726,S1,DASHBOARD_QUESTION_LOCATION_CHANGE,Dashboard,,,,,,,,"Google Store Chelsea, New York, NY"
MED-727,S1,DASHBOARD_QUESTION_AllRESPONDENT_SELECTED,Dashboard,,,,,,,,"Athens Software Service;All Respondent Types;ATHENS SOFTWARE SERVICE"
MED-728,S1,DASHBOARD_QUESTION_EMPLOYEE_SELECTED,Dashboard,,,,,,,,"ATHENS SOFTWARE SERVICE"
MED-729,S1,DASHBOARD_QUESTION_CLIENT_SELECTED,Dashboard,,,,,,,,"Athens Software Service;Google Store Chelsea, New York, NY;Top Notch Doc;PIO_2;FAC1;FAC1;Thomas;Ashish Kumar VYas;Ashish Kumar VYas;Retesting;Client"
MED-730,S1,DASHBOARD_QUESTION_FUCTIONALITY_TIMEFRAME_WITH_RESPONDENT_TYPE,Dashboard,,,,,,,,"All Respondent Types"
MED-731,S1,DASHBOARD_QUESTION_COMPANY_CHANGED,Dashboard,,,,,,,,"Company 2,North Brookeborough,Company1"
MED-733,S1,DASHBOARD_QUESTION_APPEARNACE_DASHBOARD,Dashboard,,,,,,,,"Rating Questions"
MED-734,S1,DASHBOARD_SURVEY_CHANGE,Dashboard,,,,,,,,"Mar,Apr"
MED-735,S1,DASHBOARD_OVERVIEW_ALLRESPONDENT_DEFAULTLOCATION,Dashboard,,,,,,,,"All Respondent Types;Social Score,Social Change,Surveys Filled,Survey Score,Survey Change;Athens Software Service"
MED-736,S1,DASHBOARD_SELECTED_ALLRESPONDENT_CHANGED_LOCATION,Dashboard,,,,,,,,"Google Store Chelsea, New York, NY;All Respondent Types;Net Promoter Score,Social Score,Social Change,Surveys Filled,Survey Score,Survey Change"
MED-737,S1,DASHBOARD_SELECTED_OTHER_RESPONDENT_TYPE_DEFAULTLOCATION,Dashboard,,,,,,,,"Athens Software Service;ATHENS SOFTWARE SERVICE;Net Promoter Score,Social Score,Social Change,Surveys Filled,Survey Score,Survey Change"
MED-738,S1,DASHBOARD_SELECTED_All_RESPONDENT,Dashboard,,,,,,,,"ATHENS SOFTWARE SERVICE,All Respondent Types"
MED-739,S1,DASHBOARD_SELECTED_OTHER_RESPONDENT,Dashboard,,,,,,,,"ATHENS SOFTWARE SERVICE"
MED-740,S1,DASHBOARD_PLATFORM_REVIEW_SCORE_APPEARANCE,Dashboard,,,,,,,,"Google"
MED-743,S1,DASHBOARD_SURVEY_QUESTIONS_UNDER_QUESTION_SECTION,Dashboard,,,,,,,,""
MED-744,S1,DASHBOARD_SELECTED_OTHER_RESPONDENT_CHANGED_LOCATION,Dashboard,,,,,,,,"Google Store Chelsea, New York, NY;GOOGLE STORE CHELSEA, NEW YORK, NY;Social Score,Social Change,Surveys Filled,Survey Score,Survey Change"
MED-745,S1,DASHBOARD_GEAPH_DISPLAY_UNDER_QUESTION_SECTION,Dashboard,,,,,,,,""
MED-746,S1,DASHBOARD_HOVER_GEAPH_RATING_DISPLAY_UNDER_QUESTION_SECTION,Dashboard,,,,,,,,"ATHENS SOFTWARE SERVICE"
MED-747,S1,DASHBOARD_TIMEFRAME_FUCTIONALITY_WRT_ALLRESPONDENT_TYPE,Dashboard,,,,,,,,"All Respondent Types"
MED-748,S1,DASHBOARD_CHANGE_OVERTIME_APPEARANCE,Dashboard,,,,,,,,""
MED-749,S1,DASHBOARD_TIMEFRAME_FUCTIONALITY_WRT_OTHER_RESPONDENT_TYPE,Dashboard,,,,,,,,"ATHENS SOFTWARE SERVICE"
MED-750,S1,DASHBOARD_EDIT_QUESTION_BUTTON_QUESTION_SECTION,Dashboard,,,,,,,,"Edit Survey Questions"
MED-756,S1,DASHBOARD_SURVEY_YOUR_ATTENTION_SECTION_APPEARANCE,Dashboard,,,,,,,,"Surveys That Require Your Attention,Check Bad Ratings Surveys"
MED-757,S1,DASHBOARD_BAD_RATING_SURVEYBTN_WRT_SURVEY_YOUR_ATTENTION,Dashboard,,,,,,,,"Surveys That Require Your Attention,Check Bad Ratings Surveys;Survey Results"
MED-759,S1,DASHBOARD_OVERVIEW_FUNCTIONALITY_COMPANY_CHANGED,Dashboard,,,,,,,,"Company 2;North Brookeborough;Company1;Social Score,Social Change,Surveys Filled,Survey Score,Survey Change"
MED-760,S1,DASHBOARD_CHANGE_OVERTIME_FUNCTIONALITY,Dashboard,qa.medrev@gmail.com,Company12,All Respondent Type,SurveyTestAuto,9898989898,Dr.John Smith,Cardiology,"Success"
MED-761,S1,DASHBOARD_OVERTIME_FUNCTIONALITY_LOCATION_CHANGED,Dashboard,,,,,,,,"Google Store Chelsea, New York, NY"
MED-762,S1,DASHBOARD_OVERTIME_FUNCTIONALITY_CURRENT_COMPANY_CHANGED,Dashboard,,,,,,,,"Company1"
MED-763,S1,DASHBOARD_LEFT_RIGHTDRAG_ICONS_FUNCTIONALITY_CHANGE_OVERGRAPH,Dashboard,,,,,,,,""
MED-764,S1,DASHBOARD_TOTAL_RATINGS_FUNCTIONALITY_FACEBOOK_PLATFORMREVIEW_SECTION,Dashboard,,,,,,,,""
